f,scheme,n_pairs,n_imp_subsample,ESS,Vk_plus_Vkp,asym,R_hat,boot_std,n_pairs_std,n_imp_subsample_std,ESS_std,Vk_plus_Vkp_std,asym_std,R_hat_std,boot_std_std
0.001,harmonic,4272.0,235529.0,239.95011508085693,0.00014762917608592292,0.00011480131828804505,1.883044891765498,0.09446066312935641,19.924858845171276,299.75156379909015,4.853435225189022,6.227977697948568e-07,5.524961528932098e-07,0.06690639114093544,0.003984799320417896
0.001,min,4272.0,235529.0,336.1326249793627,0.00015407067933597798,0.0001181641278577672,1.8640546492616423,0.09255820635261075,19.924858845171276,299.75156379909015,2.77689457236588,6.686417377470151e-07,5.11528496449867e-07,0.05738510444751525,0.004927367066158266
0.001,uniform,4272.0,235529.0,4272.0,0.0003242081305543369,0.0002465285872248206,1.7067160654479359,0.054811499603354075,19.924858845171276,299.75156379909015,19.924858845171276,2.1464033611429335e-06,1.718009223283245e-06,0.061142547416714585,0.0030369649149821717
0.003,harmonic,14796.0,706220.0,393.38095379670295,3.8994370154173446e-05,3.0279424914937623e-05,1.8639139254981139,0.05001745679616082,44.170125650715555,479.7322169710932,6.981281377467576,1.3263069757198762e-07,1.0837240612581236e-07,0.04792468992496088,0.006067255442990542
0.003,min,14796.0,706220.0,547.0559181215282,4.059559961921404e-05,3.1116234318467636e-05,1.879288700741735,0.04905880074911726,44.170125650715555,479.7322169710932,6.013721021470336,1.4079332897804815e-07,1.1841524814672502e-07,0.04578577442345028,0.006375831497879281
0.003,uniform,14796.0,706220.0,14796.0,9.291903006832323e-05,7.056479771237911e-05,1.6545671918838887,0.027016707352420847,44.170125650715555,479.7322169710932,44.170125650715555,3.321063127113167e-07,2.2593692935419424e-07,0.10620644854821887,0.0014561648908729104
0.01,harmonic,53967.0,2353668.0,606.5651114461489,9.331580554732078e-06,7.238848207094715e-06,1.7938625773037309,0.022608906550622376,51.44900387762624,1496.9011323397415,2.216160181264168,2.6614079989652654e-08,2.1253651790151446e-08,0.03180026903309406,0.0014914625125890628
0.01,min,53967.0,2353668.0,845.5487332755401,9.697289573171628e-06,7.42910279079149e-06,1.796548027753228,0.02229029047700364,51.44900387762624,1496.9011323397415,8.233046381338077,2.9390451397218306e-08,2.341909399007739e-08,0.03015112096319568,0.001384696949439528
0.01,uniform,53967.0,2353668.0,53967.0,2.4830870436263233e-05,1.883429824955284e-05,1.6226346923156345,0.013757247585038407,51.44900387762624,1496.9011323397415,51.44900387762624,2.7543744116617967e-08,2.2352444917749508e-08,0.05102785158084202,0.00034440309882799376
0.03,harmonic,166584.33333333334,7067963.333333333,862.8226112806087,2.617652554566723e-06,2.0282914162056735e-06,1.7347296434811679,0.011741386875238317,358.3410851874658,1183.1387633467332,6.525799941973627,8.50897980534644e-10,9.872403577982187e-10,0.014072851063975734,0.000773401600213158
0.03,min,166584.33333333334,7067963.333333333,1196.4440276110283,2.7172398200857884e-06,2.079947520344419e-06,1.7320520731072202,0.011732536412266936,358.3410851874658,1183.1387633467332,9.69232511974786,8.010845603569894e-10,8.35146490789432e-10,0.013122834572138309,0.0006888373446228605
0.03,uniform,166584.33333333334,7067963.333333333,166584.33333333334,7.800789564509992e-06,5.913820833859542e-06,1.5376924030511898,0.0075781456363342254,358.3410851874658,1183.1387633467332,358.3410851874658,1.966105366127529e-08,1.5772057770846508e-08,0.015801073350537057,9.31008624629881e-05
0.1,harmonic,542307.0,23561433.333333332,1188.3311716046157,6.706024625712333e-07,5.189791682044815e-07,1.7148147825002205,0.006641553423161306,322.470153657668,4372.440089164018,3.2807459006341793,5.763871675373206e-10,3.995458547149811e-10,0.006420143821735481,0.0003119648468690936
0.1,min,542307.0,23561433.333333332,1637.1880599582594,6.952885945807315e-07,5.318018714561858e-07,1.7156732038095885,0.006691662096293284,322.470153657668,4372.440089164018,2.6050052169506066,6.458115909266333e-10,4.618863616751967e-10,0.006704467986077361,0.0002579163759752926
0.1,uniform,542307.0,23561433.333333332,542307.0,2.32153666895738e-06,1.7595108043139725e-06,1.542532582573543,0.005242277896975627,322.470153657668,4372.440089164018,322.470153657668,1.0956144048253435e-09,1.0382706965516174e-09,0.00587392102970979,0.00017650454052232933
0.3,harmonic,1531815.6666666667,70675772.66666667,1501.894978677555,1.9874678704405495e-07,1.5368059741704803e-07,1.690663736290032,0.0037082560305837144,1522.6865512420225,1817.7052382975971,3.631009482875748,7.582006387891804e-11,6.675855429665148e-11,0.00023873848110462,0.0001030637239255504
0.3,min,1531815.6666666667,70675772.66666667,2062.4857573687623,2.0590600054615085e-07,1.573965074040003e-07,1.691315055612705,0.003760519043086328,1522.6865512420225,1817.7052382975971,4.094331857436585,8.1224399613249e-11,6.922112194433325e-11,0.000840899505667642,9.574022568455979e-05
0.3,uniform,1531815.6666666667,70675772.66666667,1531815.6666666667,8.053716767718012e-07,6.105746741203665e-07,1.5424175337041024,0.0031244418828340463,1522.6865512420225,1817.7052382975971,1522.6865512420225,4.77222079786375e-10,2.9459601198969906e-10,0.0012186648893112914,0.00012088903954300701
1.0,harmonic,4613072.0,235582879.0,1849.4539546217613,5.369680756208592e-08,4.149137077422067e-08,1.6790349472740533,0.002010629402489355,0.0,0.0,0.0,0.0,0.0,0.0,0.00016213005726810925
1.0,min,4613072.0,235582879.0,2526.169068671077,5.559389877773334e-08,4.247717604223399e-08,1.6803054057655433,0.0020315144536936515,0.0,0.0,0.0,0.0,0.0,0.0,0.0001514079406402493
1.0,uniform,4613072.0,235582879.0,4613072.0,2.5997654069345166e-07,1.9713266931904289e-07,1.5415161831419761,0.0016301856551581139,0.0,0.0,0.0,0.0,0.0,0.0,0.00011778506464393337
